ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,MauiAppMinhasCompras\MauiAppMinhasCompras.csproj,File,MauiAppMinhasCompras\MauiAppMinhasCompras.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.0  Recomendação:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.3"
Project.0002,As estruturas de destino do projeto precisam ser alteradas,Active,Mandatory,1,MauiAppMinhasCompras\MauiAppMinhasCompras.csproj,File,MauiAppMinhasCompras\MauiAppMinhasCompras.csproj,,,,,,,,Estrutura de destino atual: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0 Estrutura de destino recomendada: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0;net10.0-windows
